Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Korean Name
2020-12-29 00:00:00-05:00,134.99290309889795,135.71650634261294,131.36505401704343,131.88331604003906,121047300,0.0,0.0,AAPL,애플
2020-12-29 00:00:00-05:00,218.7553332653871,219.59628626725498,216.11647006166908,216.6674346923828,17403200,0.0,0.0,MSFT,마이크로소프트
2020-12-29 00:00:00-05:00,89.03872983045667,89.10050235919063,87.43852790533303,87.57054901123047,19726000,0.0,0.0,GOOGL,구글
2020-12-29 00:00:00-05:00,165.4969940185547,167.53250122070312,164.06100463867188,166.10000610351562,97458000,0.0,0.0,AMZN,아마존
2020-12-29 00:00:00-05:00,220.3333282470703,223.3000030517578,218.3333282470703,221.99667358398438,68732400,0.0,0.0,TSLA,테슬라
2020-12-29 00:00:00-05:00,275.8961120674428,279.4425624812141,275.2286482956531,275.72674560546875,16383000,0.0,0.0,META,메타 (구 페이스북)
2020-12-29 00:00:00-05:00,12.892278143264148,13.039404757567487,12.809737320692133,12.910481452941895,170372000,0.0,0.0,NVDA,엔비디아
2020-12-29 00:00:00-05:00,230.5,231.10000610351562,229.10000610351562,229.57000732421875,3799500,0.0,0.0,BRK-B,버크셔 해서웨이 B
2020-12-29 00:00:00-05:00,208.43726491543046,209.04914923714583,207.39803375441588,208.20416259765625,6093400,0.0,0.0,V,비자
2020-12-29 00:00:00-05:00,137.79690716728007,138.53010014677793,137.51972395636287,137.82373046875,5212000,0.0,0.0,JNJ,존슨앤드존슨
2020-12-29 00:00:00-05:00,125.33036480530978,125.97853327865967,124.41212384532125,124.61017608642578,5139300,0.0,0.0,PG,프록터 앤드 갬블
2020-12-29 00:00:00-05:00,328.6545343940141,331.77119295253766,325.83067774325434,328.05010986328125,2275700,0.0,0.0,UNH,유나이티드헬스
2020-12-29 00:00:00-05:00,244.9807842297551,245.41632014672822,240.5254301340201,241.54171752929688,2572100,0.0,0.0,HD,홈디포
2020-12-29 00:00:00-05:00,339.5126518541967,340.45959442679623,336.56445333156415,338.4192810058594,2822700,0.0,0.0,MA,마스터카드
2020-12-29 00:00:00-05:00,30.50127048470368,30.749247652627943,30.410344787384606,30.62525749206543,23152100,0.0,0.0,PFE,화이자
2020-12-29 00:00:00-05:00,48.22805953893997,48.26348959419496,47.847194891939,47.94462585449219,8320600,0.0,0.0,KO,코카콜라
2020-12-29 00:00:00-05:00,177.81336602519912,178.0010499021528,174.06962132220937,175.13644409179688,6875400,0.0,0.0,DIS,디즈니
2020-12-29 00:00:00-05:00,131.63367630800985,132.6052516114046,130.88495060699657,131.4019317626953,3186700,0.0,0.0,PEP,펩시코
2020-12-29 00:00:00-05:00,27.3569900181968,27.42953085706815,27.139367501582754,27.2119083404541,33291900,0.0,0.0,BAC,뱅크오브아메리카
2020-12-29 00:00:00-05:00,35.6207682610168,35.68855110449805,34.90903062726474,34.96834182739258,20287700,0.0,0.0,XOM,엑슨모빌
